"Dato","Arr/Dep","Rutenr.","STA/STD","A/C","Org./Des."
"9/19/2019","D","FR 7407 ","14:35","73H","LTN "
"9/19/2019","A","SK 1423 ","14:40","73H","ARN "
"9/19/2019","D","KL 1130 ","14:40","73W","AMS "
"9/19/2019","A","SK 1469 ","14:45","73H","OSL "
"9/19/2019","A","SK 1736 ","14:45","32A","KRK "
"9/19/2019","A","SK 1869 ","14:45","CR9","SVG "
"9/19/2019","A","SK 2875 ","14:45","319","BGO "
"9/19/2019","D","BT 136  ","14:45","735","RIX "
"9/19/2019","D","SK 1257 ","14:45","AT7","AAR "
"9/19/2019","D","SK 1285 ","14:45","AT7","BLL "
"9/19/2019","D","SK 438  ","14:45","AT7","GOT "
"9/19/2019","A","SK 626  ","14:50","CR9","DUS "
"9/19/2019","D","DX 080  ","14:50","AT7","KRP "
"9/19/2019","D","LH 829  ","14:50","319","FRA "
"9/19/2019","D","LX 1271 ","14:50","320","ZRH "
"9/19/2019","D","SK 1215 ","14:50","CR9","AAL "
"9/19/2019","A","DX 212  ","14:55","320","AOK "
"9/19/2019","A","FR 632  ","14:55","73H","DUB "
"9/19/2019","D","SK 649  ","14:55","CR9","HAM "
"9/19/2019","D","TK 1782 ","14:55","32B","IST "
"9/19/2019","A","DY 940  ","15:00","73H","OSL "
"9/19/2019","A","I2 3730 ","15:00","320","MAD "
"9/19/2019","D","SK 505  ","15:00","32A","LHR "
"9/19/2019","D","AF 1851 ","15:05","319","CDG "
"9/19/2019","D","DY 7041 ","15:05","789","FLL "
"9/19/2019","A","D8 264  ","15:10","73H","HEL "
"9/19/2019","D","D8 3582 ","15:10","73H","PRG "
"9/19/2019","D","LG 5438 ","15:10","DH4","LUX "
"9/19/2019","A","SK 794  ","15:15","321","NCE "
"9/19/2019","D","6I 106  ","15:15","AT7","SGD "
"9/19/2019","A","JTG246  ","15:20","73W","AYT "
"9/19/2019","A","SK 768  ","15:20","32A","PRG "
"9/19/2019","D","FR 633  ","15:20","73H","DUB "
"9/19/2019","D","SK 1424 ","15:20","73H","ARN "
"9/19/2019","D","SK 1593 ","15:20","32A","BRU "
"9/19/2019","A","DK 1137 ","15:25","32B","MJT "
"9/19/2019","A","DY 4161 ","15:25","73H","ARN "
"9/19/2019","A","FR 409  ","15:25","73H","CGN "
"9/19/2019","D","RJ 116  ","15:25","319","AMM "
"9/19/2019","A","D8 3667 ","15:30","73H","PMI "
"9/19/2019","A","DX 041  ","15:30","AT4","RNN "
"9/19/2019","A","SK 1756 ","15:30","CR9","POZ "
"9/19/2019","A","SK 984  ","15:30","343","NRT "
"9/19/2019","D","D8 3662 ","15:30","321","ALC "
"9/19/2019","D","DY 941  ","15:30","73H","OSL "
"9/19/2019","D","SK 1460 ","15:30","73H","OSL "
"9/19/2019","A","SK 596  ","15:35","32A","KEF "
"9/19/2019","A","SK 760  ","15:35","320","GDN "
"9/19/2019","A","WF 268  ","15:35","DH4","KRS "
"9/19/2019","D","EK 152  ","15:35","77W","DXB "
"9/19/2019","D","SK 1549 ","15:35","32A","AMS "
"9/19/2019","A","BA 816  ","15:40","32A","LHR "
